job_id,title,job_domain,company_name,company_url,city,work_mode,employment_type,salary_min,salary_max,is_negotiable,benefits,skills_raw,skills_standardized,experience_min_years,experience_max_years,experience_level,posted_date,deadline_date,source,industry
1,data engineer,Data,"SCHAEFFLER VIETNAM CO., LTD",https://careerviet.vn/vi/nha-tuyen-dung/schaeffler-vietnam-co-ltd.35A55FA9.html,Đồng Nai,,Full-time,0,0,1,[],"['python', 'java', 'sql']","['python', 'java', 'sql']",1,3,Junior,21/08/2025,26/09/2025,CareViet,['IT/Software']
2,sap consultant,Other,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-citek.35A8C8BE.html,Hồ Chí Minh,,Full-time,0,0,1,['Đào tạo'],[],[],2,10,Middle,16/08/2025,28/08/2025,CareViet,['Consulting']
3,system administrator,Other,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,Hà Nội,,Full-time,0,0,1,[],[],[],3,3,Middle,16/08/2025,14/09/2025,CareViet,['IT Support']
4,system administrator,Other,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,Hà Nội,,Full-time,0,0,1,[],[],[],3,3,Middle,21/08/2025,19/09/2025,CareViet,['IT Support']
5,công nghệ thông tin,Other,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ BẢO DƯỠNG THIẾT BỊ HÀNG KHÔNG,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-san-xuat-va-bao-duong-thiet-bi-hang-khong.35A9B4AA.html,Hà Nội,,Full-time,12000000,18000000,0,[],[],[],1,1,Junior,21/08/2025,19/09/2025,CareViet,['Other']
6,developer,Other,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN G.EMPIRE,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-bat-dong-san-g-empire.35AA06D4.html,Hồ Chí Minh,,Full-time,0,0,1,[],[],[],2,4,Middle,21/08/2025,19/09/2025,CareViet,['IT/Software']
7,ai engineer,AI/ML,Công ty TNHH Viettel - CHT,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-viettel-cht.35A87FE7.html,Hà Nội,,Full-time,0,0,1,[],[],[],5,5,Senior,20/08/2025,15/10/2025,CareViet,['IT/Software']
8,sap business development,Other,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-citek.35A8C8BE.html,Hà Nội,,Full-time,0,0,1,['Du lịch'],['go'],['go'],5,10,Senior,14/08/2025,2025-08-09 00:00:00,CareViet,['Sales/Marketing']
9,solution consultant,Other,QTSC - CÔNG TY TNHH MTV PHÁT TRIỂN CÔNG VIÊN PHẦN MỀM QUANG TRUNG,https://careerviet.vn/vi/nha-tuyen-dung/qtsc-cong-ty-tnhh-mtv-phat-trien-cong-vien-phan-mem-quang-trung.35A8671A.html,Hồ Chí Minh,,Full-time,0,0,1,['Đào tạo'],['go'],['go'],2,2,Middle,14/08/2025,14/09/2025,CareViet,['Consulting']
10,risk operation,Other,"HD SAISON Finance Co., Ltd",https://careerviet.vn/vi/nha-tuyen-dung/hd-saison-finance-co-ltd.35A6DA73.html,Hồ Chí Minh,,Full-time,0,0,1,['Đào tạo'],[],[],1,3,Junior,14/08/2025,14/09/2025,CareViet,['Other']
