job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,deadline,skills,industry,experience_min,experience_max,job_level,source
TCV0001,Software Engineer,developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,40000000,15000000,0,Hà Nội,14/09/2025,,['Chuyên môn Software Engineer'],2,2.0,Junior,TopCV
TCV0002,Kinh doanh phần mềm,sales,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ GIẢI PHÁP PHẦN MỀM SMB PLUS,18000000,15000000,0,Hồ Chí Minh,14/09/2025,,"['Chuyên môn Kinh doanh phần mềm', 'B2B', 'IT - Phần mềm', 'Marketing / Quảng cáo']",1,1.0,Junior,TopCV
TCV0003,Chuyên viên Cyber Security,security,CÔNG TY CỔ PHẦN AN NINH MẠNG 405CYSE,30000000,20000000,0,Hồ Chí Minh,18/09/2025,"['Kiến Thức Chuyên Sâu Về An Ninh Mạng', 'Phân Tích Và Đánh Giá Rủi Ro', 'Xử Lý Sự Cố An Ninh', 'Kiến Thức Về Các Hệ Điều Hành (windows, Linux)', 'Kiến Thức Về Mạng (tcp Ip, Dns, Vpn)']","['Chuyên môn Chuyên viên Cyber Security', 'Nghỉ thứ 7']",2,2.0,Mid,TopCV
TCV0004,Data Engineer,developer,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),0,0,1,Hà Nội,20/09/2025,"['SQL', 'ETL', 'Data Warehousing', 'Cloud Computing (aws, Azure, Gcp)', 'Data Modeling']",['Chuyên môn Data Engineer'],5,,Mid,TopCV
TCV0005,Mobile Developer,developer,CÔNG TY CỔ PHẦN SMARTOSC,0,0,1,Hà Nội,17/09/2025,"['React Native', 'Javascript', 'Redux Context Api', 'RESTful APIs', 'Git']","['Chuyên môn Mobile Developer', 'IT - Phần mềm', 'Nghỉ thứ 7']",2,2.0,Junior,TopCV
TCV0006,Technical Leader,infra,CÔNG TY CỔ PHẦN DS SOLUTION VIỆT NAM,40000000,25000000,0,Hà Nội,19/09/2025,"['Python', 'Quản Lý Dự Án', 'NextJS', 'React', 'Lãnh Đạo Nhóm', 'openai', 'Quản Lý Team', 'Jira/Confluence']","['Chuyên môn Technical Leader', 'IT - Phần mềm', 'Tiếng Anh Giao tiếp thành thạo']",3,3.0,Lead,TopCV
TCV0007,Thiết kế đồ họa (Graphic Design),design,CÔNG TY TNHH VLAST VIỆT NAM,80000000,60000000,0,Hồ Chí Minh,20/09/2025,,"['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'IT - Phần mềm', 'Game', 'Thiết kế / Kiến trúc']",5,5.0,Mid,TopCV
TCV0008,Fullstack Developer,developer,FPT IS,0,0,1,Hà Nội,18/09/2025,"['CSS', 'HTML', 'Javascript', 'React', 'Node.js']","['Chuyên môn Fullstack Developer', 'Nghỉ thứ 7']",3,3.0,Junior,TopCV
TCV0009,Mobile Developer,developer,Công ty cổ phần phần mềm Matechmobile,30000000,30000000,0,Hà Nội,30/09/2025,,"['Chuyên môn Mobile Developer', 'IT - Phần mềm', 'Nghỉ thứ 7']",2,2.0,Junior,TopCV
TCV0010,Kinh doanh phần mềm,sales,Công ty cổ phần GIMO,17000000,10000000,0,Bình Dương,14/09/2025,"['Giao tiếp', 'thuyết phục', 'Làm việc độc lập', 'Sử Dụng Tin Học Văn Phòng']","['Chuyên môn Kinh doanh phần mềm', 'Direct Sales', 'B2C', 'Tài chính', 'Có hỗ trợ Data', 'Nghỉ thứ 7']",1,1.0,Junior,TopCV
