job_id,job_url,source,title,title_clean,job_level_from_title,job_role,job_level,job_level_source,job_field,job_field_source,company,company_norm,locations,location_primary,location,work_type,work_type_detail,salary,salary_min,salary_max,salary_currency,salary_period,salary_min_vnd,salary_max_vnd,salary_is_negotiable,fx_rate_used,posted_datetime,posted_date,industry_list,industry,industry_source,job_domain,skills,skills_count
vnw_00001,https://www.vietnamworks.com/devops-engineer-1951797-jv?searchType=2&sortBy=date,vnw,DevOps Engineer,DevOps Engineer,Unspecified,DevOps,Mid,experience,DevOps,source_field,Navigos Group,navigosgroup,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,$ 800-900 /tháng,800.0,900.0,USD,month,21112000.0,23751000.0,False,FX:USD=26390,2025-08-27 00:00:00,2025-08-27,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""AWS"", ""Ci"", ""Cd"", ""Cloud"", ""Kubernetes""]",5
vnw_00002,https://www.vietnamworks.com/junior-android-developer-1948248-jv?searchType=2&sortBy=date,vnw,Junior Android Developer,Mobile Developer,Junior,Developer,Mid,experience,Developer,title,Navigos Group,navigosgroup,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,"$ 700-1,000 /tháng",700.0,1000.0,USD,month,18473000.0,26390000.0,False,FX:USD=26390,2025-08-19 00:00:00,2025-08-19,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Android"", ""Jetpack Compose"", ""Teamwork""]",3
vnw_00003,https://www.vietnamworks.com/it-server-security-infra-leader-truong-bo-phan-it-server-security-infra-1946882-jv?searchType=2&sortBy=date,vnw,IT Server/security Infra Leader (Trưởng Bộ Phận IT Server/security Infra),Security Engineer,Manager,Security,Principal,experience,Security,title,Công Ty TNHH Chứng Khoán NH Việt Nam,cngtytnhhchngkhonnhvitnam,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-15 00:00:00,2025-08-15,"[""IT Services / Software"", ""Government / Public""]",IT Services / Software,industry/title/skills/company,[],"[""Security Administration"", ""Bảo Mật Thông Tin"", ""Công Nghệ Thông Tin"", ""Siem"", ""An Ninh Thông Tin""]",5
vnw_00004,https://www.vietnamworks.com/business-analyst-charging-station-system-1929875-jv?searchType=2&sortBy=date,vnw,Business Analyst (Charging Station System),PM/BA,Unspecified,Data,Mid,experience,PM/BA,title,Công Ty Phát Triển Trạm Sạc Toàn Cầu V-Green,cngtyphttrintrmsctoncuvgreen,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-04 00:00:00,2025-08-04,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Systems Analysis"", ""Charging System"", ""Billing Systems"", ""Information Technology""]",4
vnw_00005,https://www.vietnamworks.com/head-of-technical-operations-warranty--1951787-jv?searchType=2&sortBy=date,vnw,Head of Technical Operations & Warranty,IT Manager/Director,Manager,Others,Manager,title_inferred,Unspecified,unspecified,Công Ty Phát Triển Trạm Sạc Toàn Cầu V-Green,cngtyphttrintrmsctoncuvgreen,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-27 00:00:00,2025-08-27,"[""Telecommunications"", ""Energy / Oil & Gas""]",Telecommunications,industry/title/skills/company,[],"[""Charging System"", ""Viễn Thông"", ""Tích Hợp Giải Pháp Viễn Thông"", ""Solar Power Systems""]",4
vnw_00006,https://www.vietnamworks.com/microsoft-dynamics-365-functional-consultant-1950893-jv?searchType=2&sortBy=date,vnw,Microsoft Dynamics 365 Functional Consultant,Microsoft Dynamics 365 Functional Consultant,Unspecified,Others,Mid,experience,Unspecified,unspecified,"Naviworld Vietnam Co., Ltd",naviworldvietnamcoltd,"[""Hà Nội"", ""TP. Hồ Chí Minh""]",Hà Nội,Hà Nội | TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-26 00:00:00,2025-08-26,"[""Manufacturing"", ""Logistics / Supply Chain"", ""IT Services / Software""]",Manufacturing,industry/title/skills/company,"[""Manufacturing"", ""Outsourcing/Consulting""]","[""Microsoft Dynamics 365"", ""Financial Accounting"", ""Supply Chain Management"", ""Manufacturing Products"", ""Analytical Skills""]",5
vnw_00007,https://www.vietnamworks.com/it-officer--1947722-jv?searchType=2&sortBy=date,vnw,IT Officer,IT Officer,Unspecified,Others,Mid,experience,Unspecified,unspecified,Scotch Australian Grammar School (AGS),scotchaustraliangrammarschoolags,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-18 00:00:00,2025-08-18,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""It System Administration"", ""It Operations"", ""It Helpdesk"", ""It Software""]",4
vnw_00008,https://www.vietnamworks.com/tester-tieng-han-intern--1953169-jv?searchType=2&sortBy=date,vnw,Tester Tiếng Hàn Intern,QA Engineer / Tester,Junior,Tester,Intern,vnw_field,Tester,source_field,Snow Việt Nam,snowvitnam,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Qa"", ""Test Cases"", ""Software Testing"", ""Quality Control"", ""Topik 5""]",5
vnw_00009,https://www.vietnamworks.com/tester-tieng-han-senior--1953168-jv?searchType=2&sortBy=date,vnw,Tester Tiếng Hàn (Senior),QA Engineer / Tester,Senior,Tester,Senior,experience,Tester,source_field,Snow Việt Nam,snowvitnam,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Qa"", ""Test Cases"", ""Software Testing"", ""Korean Language"", ""Quality Control""]",5
vnw_00010,https://www.vietnamworks.com/product-owner-business-focus-1952996-jv?searchType=2&sortBy=date,vnw,Product Owner (Business Focus),PM/BA,Unspecified,PM/BA,Mid,experience,PM/BA,title,CÔNG TY CỔ PHẦN SIÊU ỨNG DỤNG ONEVN,cngtycphnsiungdngonevn,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Tới 40tr ₫/tháng,,40000000.0,VND,month,,40000000.0,False,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Product Owner"", ""Business Analysis"", ""Data Analysis"", ""Agile Scrum"", ""Communication""]",5
vnw_00011,https://www.vietnamworks.com/quan-tri-vien-tap-su-management-associate-chuong-trinh-techcombank-future-gen-1953119-jv?searchType=2&sortBy=date,vnw,Quản Trị Viên Tập Sự - Management Associate (Chương Trình Techcombank Future Gen),Quản Trị Viên Tập Sự - Management Associate (Chương Trình Techcombank Future Gen),Middle,Others,Mid,title_inferred,AI/ML,source_field,Techcombank,techcombank,"[""Hà Nội"", ""TP. Hồ Chí Minh""]",Hà Nội,Hà Nội | TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""Banking"", ""Government / Public""]",Banking,industry/title/skills/company,"[""Banking""]","[""Công Nghệ"", ""Dữ Liệu"", ""Chuyển Đổi Số"", ""Marketing"", ""Tài Chính""]",5
vnw_00012,https://www.vietnamworks.com/chuyen-vien-lap-trinh-cao-cap-1953059-jv?searchType=2&sortBy=date,vnw,Chuyên Viên Lập Trình Cao Cấp,Chuyên Viên Lập Trình Cao Cấp,Senior,Others,Senior,experience,Unspecified,unspecified,Công Ty Cổ Phần Vinsoc,cngtycphnvinsoc,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Go"", ""Python"", ""React"", ""Docker"", ""Git""]",5
vnw_00013,https://www.vietnamworks.com/solution-implementation-specialist-post-sales-1944879-jv?searchType=2&sortBy=date,vnw,Solution Implementation Specialist (Post-sales),Solution Implementation Specialist (Post-sales),Senior,Others,Mid,experience,Unspecified,unspecified,Fujifilm Business Innovation Vietnam,fujifilmbusinessinnovationvietnam,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-11 00:00:00,2025-08-11,"[""Manufacturing"", ""IT Services / Software""]",Manufacturing,industry/title/skills/company,"[""Manufacturing""]","[""C#"", ""Customer Management"", ""JavaScript"", ""Manage Erp Software"", ""Software Development""]",5
vnw_00014,https://www.vietnamworks.com/chuyen-vien-cao-cap-phan-tich-he-thong-khoi-ngan-hang-doanh-nghiep-1944404-jv?searchType=2&sortBy=date,vnw,Chuyên Viên Cao Cấp Phân Tích Hệ Thống - Khối Ngân Hàng Doanh Nghiệp,Chuyên Viên Cao Cấp Phân Tích Hệ Thống - Khối Ngân Hàng Doanh Nghiệp,Senior,Others,Mid,experience,Unspecified,unspecified,TPBank,tpbank,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-08 00:00:00,2025-08-08,"[""Banking""]",Banking,industry/title/skills/company,"[""Banking""]","[""Phân Tích Hệ Thống"", ""Quản Lý Dự Án"", ""Viết Tài Liệu"", ""Power BI"", ""Python""]",5
vnw_00015,https://www.vietnamworks.com/business-analyst-yeu-cau-tot-nghiep-mba-1951771-jv?searchType=2&sortBy=date,vnw,Business Analyst (Yêu Cầu Tốt Nghiệp MBA),PM/BA,Unspecified,Data,Mid,experience,PM/BA,title,MISA Jointstock Company,misajointstockcompany,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-27 00:00:00,2025-08-27,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Giải Quyết Vấn Đề"", ""Giao Tiếp"", ""Nghiên Cứu Thị Trường"", ""Phân Tích Dữ Liệu"", ""Quản Lý Nhóm""]",5
vnw_00016,https://www.vietnamworks.com/ky-su-it-phan-cung-it-hardware-staff-lam-viec-tai-kcn-thang-long-2-hung-yen--1950003-jv?searchType=2&sortBy=date,vnw,Kỹ Sư IT Phần Cứng (IT Hardware Staff) - Làm Việc Tại KCN Thăng Long 2 (Hưng Yên),Kỹ Sư IT Phần Cứng (IT Hardware Staff) - Làm Việc Tại KCN Thăng Long 2 (Hưng Yên),Senior,Others,Mid,experience,Unspecified,unspecified,"Shindengen Vietnam Co., Ltd",shindengenvietnamcoltd,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-22 00:00:00,2025-08-22,"[""Semiconductor / Electronics"", ""IT Services / Software""]",Semiconductor / Electronics,industry/title/skills/company,[],"[""It Hardware"", ""Computer Skill"", ""It Helpdesk"", ""It Support"", ""Network Security""]",5
vnw_00017,https://www.vietnamworks.com/backend-developer-1948859-jv?searchType=2&sortBy=date,vnw,Backend Developer,Backend Developer,Unspecified,Developer,Mid,experience,Developer,title,Navigos Group,navigosgroup,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-20 00:00:00,2025-08-20,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Elasticsearch"", ""Go"", ""Mariadb"", ""MongoDB"", ""Redis""]",5
vnw_00018,https://www.vietnamworks.com/network-security-specialist-1946950-jv?searchType=2&sortBy=date,vnw,Network Security (Specialist),Security Engineer,Senior,Security,Mid,experience,Security,title,Shinhan Securities Vietnam,shinhansecuritiesvietnam,"[""Unspecified""]",Unspecified,Unspecified,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-15 00:00:00,2025-08-15,[],IT Services / Software,fallback,[],"[""Network Security"", ""Firewall"", ""Cybersecurity"", ""Information Technology"", ""Python""]",5
vnw_00019,https://www.vietnamworks.com/ky-su-chuyen-nganh-djien-tu-vien-thong-1952284-jv?searchType=2&sortBy=date,vnw,Kỹ Sư Chuyên Ngành Điện Tử Viễn Thông,Kỹ Sư Chuyên Ngành Điện Tử Viễn Thông,Unspecified,Others,Unknown,title_inferred,DevOps,source_field,Công Ty CP Đầu Tư Tân Phát,cngtycputtnpht,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Từ 12tr ₫/tháng,12000000.0,,VND,month,12000000.0,,False,FX:VND=1.0,2025-08-28 00:00:00,2025-08-28,"[""Telecommunications""]",Telecommunications,industry/title/skills/company,[],"[""Phát Triển Hạ Tầng"", ""Vận Hành Hạ Tầng"", ""Kỹ Năng Văn Phòng"", ""Tiếng Anh Căn Bản"", ""Giao Tiếp""]",5
vnw_00020,https://www.vietnamworks.com/ky-su-kiem-thu-quang-hoc-aoi-1953070-jv?searchType=2&sortBy=date,vnw,Kỹ Sư Kiểm Thử Quang Học AOI 光学测试工程师,Kỹ Sư Kiểm Thử Quang Học AOI 光学测试工程师,Unspecified,Others,Lead,experience,Tester,source_field,CÔNG TY TNHH LCFC (VIỆT NAM),cngtytnhhlcfcvitnam,"[""Unspecified""]",Unspecified,Unspecified,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""Education / EdTech""]",Education / EdTech,industry/title/skills/company,"[""Edtech""]","[""Tự Học"", ""Kiểm Tra Quang Học"", ""Sop"", ""Phân Tích Lỗi"", ""Tiếng Trung""]",5
