Gia_tri,So_luong
FPT Software,65
Công ty Cổ phần Tập đoàn Meey Land,48
Techcombank,37
Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,34
MB Bank,32
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NINA,30
Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,27
Công ty Cổ phần viễn thông FPT,27
Bosch Global Software Technologies Company Limited,26
Navigos Group,26
Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),25
Tập Đoàn Bưu Chính Viễn Thông Việt Nam (Vnpt),25
FPT IS,25
"Trends & Technologies, Inc. Vietnam Co., Ltd",23
"TECHVIFY SOFTWARE., JSC",20
CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,19
Pvcombank,18
Crossian,18
Trusting Social,17
CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,15
CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,15
"MONEY Forward Vietnam Co.,Ltd",14
Crossian Việt Nam,14
Chi Nhánh Trung Tâm Công Nghệ Thông Tin Tập Đoàn Bảo Việt,14
Ahamove,13
Công ty cổ phần Công nghệ Sapo,13
CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,13
FE Credit,13
Ernst & Young Vietnam Limited (EY Vietnam),13
CÔNG TY TNHH GIẢI PHÁP VẬN HÀNH DOANH NGHIỆP OPERDO,12
TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,12
Viettel Group,12
VNDIRECT,12
Công Ty Cổ Phần Chứng Khoán SSI,12
Itechwx Company Limited,11
CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),11
FE CREDIT,11
CÔNG TY TNHH CARTRACK VIETNAM,10
Công ty Cổ phần Công nghệ Alphaway,10
Công ty Cổ Phần Rikkeisoft,10
Panasonic Vietnam Group – Panasonic R&D Center Vietnam (Prdcv),10
Vietcombank,10
LG CNS Việt Nam,10
Công Ty TNHH LG CNS VIỆT NAM,10
Công ty Cổ phần 9Pay,9
CÔNG TY CỔ PHẦN DỊCH  VỤ CÔNG NGHỆ TIN HỌC HPT,9
Công ty Cổ phần Công nghệ KiotViet,9
Công ty TNHH Viettel - CHT,9
Công ty Cổ phần Funtap,9
TPBank,9
Viettel Digital,9
Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),9
TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN,8
ONE Tech Stop Vietnam Company Ltd,8
Văn phòng đại diện Everfit Technologies Inc tại thành phố ĐàNẵng,8
Công Ty Cổ Phần Công Nghệ Mạng Viễn Thông C-LINK,8
Ngân Hàng Á Châu | ACB,8
CÔNG TY TNHH MUMESOFT INNOVATION,8
NAB Innovation Centre Vietnam,8
GTEL ICT,8
NAVER Vietnam,8
Tymex,8
LacViet Computing Corporation,8
Công ty CP IIG Việt Nam,8
Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),8
Ngân Hàng TMCP Lộc Phát Việt Nam Lpbank,8
CÔNG TY CỔ PHẦN KINH DOANH F88,7
Viettel Software,7
Samsung Electronics HCMC CE Complex,7
Công ty CP Phần mềm MOR,7
VNPT Net Corporation,7
Tập đoàn FPT,7
CÔNG TY TNHH CÔNG NGHỆ EZCLOUD TOÀN CẦU,7
Công ty Cổ phần đầu tư phát triển máy Việt Nam,7
Chương trình Học viện Công nghệ BKACAD,7
EuP Group,7
Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,7
Unit Corp,7
Chartertech Global,7
GTV Vietnam,7
Công ty TNHH phát triển AROMA,7
Mitek Viet Nam,7
Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ),7
CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VINIT,7
Aperia Solutions Vietnam Co Ltd,7
Công Ty Cổ Phần Đầu Tư Thương Mại Và Phát Triển Công Nghệ FSI,6
NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),6
Rakus Vietnam Company,6
Công ty Cổ phần CANIFA,6
CÔNG TY CỔ PHẦN TÀI NGUYÊN TRI THỨC VIỆT NĂNG,6
Công Ty Cổ Phần VCCorp,6
Netcompany,6
Công ty cổ phần Ecoit,6
Mcredit - Công Ty Tài Chính TNHH MB Shinsei,6
Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,6
CÔNG TY CỔ PHẦN PARALINE SOFTWARE,6
Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,6
Masan Consumer,6
CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,6
CÔNG TY CỔ PHẦN TIN HỌC - VIỄN THÔNG HÀNG KHÔNG AITS,6
CÔNG TY CỔ PHẦN BPO MẮT BÃO,6
Công Ty Cổ Phần Tổ Chức Nhà Quốc Gia (NATIONAL HOUSING ORGANIZATION JSC),6
Công ty Cổ phần Tập đoàn G,6
SSI Securities Corporation,6
CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH OXII,6
CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ PHONG VŨ,6
CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,6
CÔNG TY CỔ PHẦN SMARTOSC,6
"Andpad Vietnam Co., Ltd",6
BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG,6
Công ty TNHH Dịch vụ công nghệ TP,6
CÔNG TY CỔ PHẦN CÔNG NGHỆ Parrot AI,6
CÔNG TY TNHH DAOUKIWOOM INNOVATION,6
Công ty TNHH MTV Sen Vàng Việt Nam,5
BSS Group,5
Home Credit Vietnam,5
Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),5
Prime Tech Solution,5
CÔNG TY CỔ PHẦN CÔNG NGHỆ BRAVESTARS,5
Công ty cổ phần Canifa,5
Teamflow Gmbh,5
Ngân Hàng TNHH MTV Việt Nam Hiện Đại (MBV),5
Công ty Cổ phần Giải pháp Phần mềm Biplus Việt Nam,5
Amigo,5
Công ty cổ phần Gamee,5
VSOL,5
Athena Studio,5
NEXON DEV VINA,5
HSC,5
DNSE,5
HRS Group,5
Nakivo,5
OLLI,5
CÔNG TY TNHH CÔNG NGHỆ GIẢI PHÁP CITYNOW,5
Hitachi Digital Services,5
TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,5
Công ty TNHH Giải pháp Phân tích dữ liệu Insight Data,5
Công Ty TNHH R Techno Việt Nam,5
Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),5
Head Hunter,5
CÔNG TY CỔ PHẦN EVERSTAR GLOBAL,5
CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,5
Virtual Security Lab Cyber Risk Management Services L.L.C,5
CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP TOÀN CẦU IIJ VIỆT NAM,5
CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP TUẤN VIỆT,5
CÔNG TY CỔ PHẦN TRUYỀN THÔNG DU LỊCH VIỆT,5
Shinhan Vietnam Finance Company Limited,5
INNOTECH VIETNAM CORPORATION,5
CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,5
Ngân Hàng TMCP Quốc Tế Việt Nam,5
CÔNG TY TNHH HAPIGA VIỆT NAM,5
Công Ty SmartOSC,5
Công Ty Cổ Phần Tập Đoàn Golden Gate,5
Công Ty Cổ Phần Tập Đoàn Sunshine,5
Viettel IDC,5
Công ty cổ phần Công nghệ và Dịch vụ XGame,5
Công Ty TNHH Tư Vấn Kỹ Thuật Và Tin Học Thương Mại Viet C.A.D,5
Công ty CP Kinh doanh F88,5
Công ty cổ phần Synodus,5
Ngân Hàng Thương Mại Cổ Phần Nam Á (Nam A Bank),5
CÔNG TY TNHH TM & DV NINA,4
Braly JSC,4
Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,4
CÔNG TY TRÁCH NHIỆM HỮU HẠN BG MEDIA,4
CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ TRIPLAYZ,4
Công ty Cổ phần GEM,4
BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,4
Dr.Joy,4
Công ty TNHH Lisod Việt Nam,4
CÔNG TY CỔ PHẦN GIẢI PHÁP FIRST TRUST,4
Pizza Hut Digital & Technology,4
CÔNG TY TNHH SẢN XUẤT VÀ DỊCH VỤ CMC,4
Công ty Cổ phần Hệ thống Công nghệ ETC,4
CÔNG TY TNHH MONA HOST,4
Tập Đoàn Tân Á Đại Thành,4
Công Ty Cổ Phần Tập Đoàn Đầu Tư Địa Ốc No Va,4
CÔNG TY TNHH GIANTY VIỆT NAM,4
Công Ty TNHH Tập Đoàn Rita Võ,4
The One Digi Corp,4
CÔNG TY CỔ PHẦN OMINEXT,4
Topicus Vietnam,4
Be Group,4
Yes4All Trading Services Company Limited,4
CÔNG TY CỔ PHẦN LUKLAK,4
CÔNG TY CỔ PHẦN ONE MOUNT GROUP,4
CÔNG TY CỔ PHẦN IKAME GLOBAL,4
Phu Hung Securities Corporation,4
TRƯỜNG ĐẠI HỌC KINH TẾ - TÀI CHÍNH TP.HCM,4
Megazone,4
Công ty Cổ phần Tập đoàn Karofi,4
CÔNG TY CỔ PHẦN CROW GAMING,4
LG Electronics Development Vietnam Company Limited,4
Flodesk,4
CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,4
CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ THÔNG TIN DI ĐỘNG,4
Công ty TNHH SETA international Việt Nam,4
HAPAS VIỆT NAM,4
Unity Sport JSC,4
Công ty TNHH CÔNG NGHỆ VÀ TƯ VẤN DOANH NGHIỆP INNOCOM,4
M_Service (Momo),4
Công ty Cổ phần Gapu,4
CÔNG TY CỔ PHẦN TẬP ĐOÀN IVI,4
Moatable,4
Orient Software Development Corp.,4
CÔNG TY TNHH CÔNG NGHỆ RIKAI,4
Persol Career Tech Studio Vietnam,4
OpenCommerce Group,4
Mercatus,4
MobiFone,4
Xuân Cầu Holdings,4
Công ty CP Công nghệ phần mềm và nội dung số OSP,4
Công ty TNHH ITECHWX,4
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ GIẢI TRÍ HG MEDIA,4
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TẦM NHÌN,4
