Gia_tri,So_luong
30/09/2025,419
31/08/2025,188
20/09/2025,131
19/09/2025,122
05/09/2025,118
06/09/2025,96
18/09/2025,95
30/08/2025,87
17/09/2025,87
04/09/2025,81
10/09/2025,81
14/09/2025,81
13/09/2025,79
21/09/2025,77
11/09/2025,76
03/09/2025,75
15/09/2025,74
07/09/2025,71
31/10/2025,69
29/08/2025,60
12/09/2025,58
25/09/2025,57
24/09/2025,48
26/09/2025,38
09/09/2025,29
09/07/2025,27
27/09/2025,25
16/09/2025,25
08/09/2025,24
09/05/2025,23
22/09/2025,21
09/01/2025,21
24/08/2025,20
09/06/2025,20
23/08/2025,18
26/08/2025,18
31/12/2025,18
01/09/2025,17
09/11/2025,17
28/08/2025,17
09/08/2025,17
09/12/2025,16
25/08/2025,16
28/09/2025,15
30/11/2025,14
09/02/2025,14
09/04/2025,13
22/08/2025,13
09/03/2025,12
15/08/2025,12
29/09/2025,10
01/10/2025,10
23/09/2025,9
30/10/2025,9
09/10/2025,8
02/09/2025,8
10/10/2025,8
27/08/2025,7
15/10/2025,6
11/10/2025,3
08/10/2025,3
08/01/2025,3
22/10/2025,3
14/10/2025,2
29/07/2025,2
03/12/2025,2
02/10/2025,2
05/11/2025,2
29/10/2025,2
10/05/2025,2
16/06/2026,1
01/12/2025,1
20/11/2025,1
18/08/2026,1
15/08/2026,1
15/05/2026,1
31/01/2026,1
21/10/2025,1
04/10/2025,1
08/07/2025,1
10/01/2025,1
20/08/2025,1
18/08/2025,1
21/08/2025,1
23/07/2025,1
08/06/2025,1
31/07/2025,1
24/01/2026,1
24/07/2025,1
