Gia_tri,So_luong
[],2388
['it - phần mềm'],328
['it/software'],278
['other'],266
['consulting'],78
['thiết kế / kiến trúc'],50
"['it - phần cứng và máy tính', 'it - phần mềm']",42
['it support'],32
['game'],31
"['it - phần mềm', 'it - phần cứng và máy tính']",27
['tiếng anh giao tiếp thành thạo'],22
['b2b'],22
['marketing / quảng cáo'],20
['sales/marketing'],19
['it - phần cứng và máy tính'],16
"['it - phần mềm', 'thương mại điện tử']",15
"['thiết kế / kiến trúc', 'marketing / quảng cáo']",13
"['it - phần mềm', 'ngân hàng', 'tài chính']",13
"['b2b', 'b2c']",12
"['b2b', 'it - phần mềm']",11
"['it - phần mềm', 'game']",11
"['it - phần cứng và máy tính', 'it - phần mềm', 'điện toán đám mây (cloud)']",10
"['it - phần mềm', 'tiếng anh giao tiếp thành thạo']",10
['thương mại điện tử'],10
"['marketing / quảng cáo', 'thiết kế / kiến trúc']",10
"['it - phần cứng và máy tính', 'it - phần mềm', 'thương mại điện tử']",7
"['an ninh mạng', 'it - phần cứng và máy tính', 'it - phần mềm']",7
"['it - phần cứng và máy tính', 'it - phần mềm', 'viễn thông']",6
"['an ninh mạng', 'it - phần mềm', 'it - phần cứng và máy tính']",6
"['direct sales', 'b2b', 'có hỗ trợ data']",6
['tuổi 25 - 40'],6
"['it - phần mềm', 'điện toán đám mây (cloud)']",5
"['thiết kế / kiến trúc', 'may mặc / thời trang']",5
"['mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc']",5
"['it - phần mềm', 'an ninh mạng']",5
"['marketing / quảng cáo', 'mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc']",5
"['mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc', 'marketing / quảng cáo']",5
"['an ninh mạng', 'it - phần mềm']",5
['an ninh mạng'],5
"['direct sales', 'b2b']",5
"['it - phần cứng và máy tính', 'it - phần mềm', 'tuổi 25 - 35']",4
"['game', 'thiết kế / kiến trúc']",4
['chăm sóc sức khỏe / làm đẹp'],4
"['it - phần mềm', 'tuổi 22 - 35']",4
"['it - phần cứng và máy tính', 'it - phần mềm', 'an ninh mạng']",4
"['direct sales', 'online sales', 'telesales', 'b2b', 'có hỗ trợ data']",4
['tuổi 22 - 28'],4
"['it - phần mềm', 'tuổi 25 - 40']",4
"['it - phần mềm', 'y tế / dược phẩm']",4
"['it - phần mềm', 'thương mại điện tử', 'marketing / quảng cáo']",4
['b2c'],4
"['marketing / quảng cáo', 'thiết kế / kiến trúc', 'mỹ thuật / nghệ thuật / điện ảnh']",4
"['game', 'mỹ thuật / nghệ thuật / điện ảnh']",4
"['in ấn / xuất bản', 'thiết kế / kiến trúc', 'marketing / quảng cáo', 'tuổi 25 - 35']",4
