Gia_tri,So_luong
Hà Nội,2484
Hồ Chí Minh,932
TP. Hồ Chí Minh,804
Unspecified,95
Đà Nẵng,94
Bình Dương,55
Hải Phòng,41
"Hà Nội, Hồ Chí Minh",32
"Hồ Chí Minh, Hà Nội",20
Đồng Nai,18
Nghệ An,16
Bắc Ninh,15
Hưng Yên,11
Cần Thơ,10
Hồ Chí Minh & 2 nơi khác,9
"Hà Nội, Đà Nẵng",8
Long An,8
Nhật Bản,7
Khánh Hoà,6
Hải Dương,6
Đà Nẵng & 2 nơi khác,5
Bình Định,5
Hà Nội & 2 nơi khác,5
Thanh Hoá,4
Thừa Thiên Huế,4
"Hưng Yên, Hà Nội",3
Kiên Giang,3
Vĩnh Phúc,3
Quảng Ninh,3
"Hồ Chí Minh, Bình Dương",3
Thái Nguyên,3
Hà Nam,3
Gia Lai,2
Hà Nội & 3 nơi khác,2
Bình Thuận,2
Bà Rịa - Vũng Tàu,2
Lâm Đồng,2
Thái Nguyên & 3 nơi khác,2
Hà Nam & 2 nơi khác,2
"Hồ Chí Minh, Khánh Hoà",2
"Đà Nẵng, Hà Nội",2
Ninh Bình,2
Hoà Bình,2
Hà Nội & 62 nơi khác,1
"Long An, Hồ Chí Minh",1
Hà Nội & 65 nơi khác,1
Bà Rịa-Vũng Tàu,1
"Hà Nội, Bắc Giang",1
Quảng Trị,1
Nam Định,1
"Bắc Ninh, Hà Nội",1
Hải Phòng & 4 nơi khác,1
Hậu Giang,1
"Hồ Chí Minh, Đà Nẵng",1
"Kiên Giang, An Giang",1
Hà Nội & 5 nơi khác,1
"Cần Thơ, Hậu Giang",1
Bắc Giang,1
Hà Nội & 20 nơi khác,1
Tuyên Quang & 8 nơi khác,1
"Nước Ngoài, Hà Nội",1
An Giang,1
Nước Ngoài,1
Quảng Bình,1
Thái Bình,1
