Gia_tri,So_luong
0.0,2523
10000000.0,260
15000000.0,224
20000000.0,163
12000000.0,150
8000000.0,149
30000000.0,90
25000000.0,89
26390000.0,77
9000000.0,70
18000000.0,62
7000000.0,47
39585000.0,42
40000000.0,41
13000000.0,39
35000000.0,37
13195000.0,34
2000000.0,34
52780000.0,32
18473000.0,31
6000000.0,30
21112000.0,28
11000000.0,28
14000000.0,26
3000000.0,24
16666666.666666666,24
26000000.0,23
4000000.0,21
17000000.0,20
22000000.0,18
5000000.0,14
16000000.0,14
50000000.0,13
31668000.0,13
79170000.0,11
52000000.0,11
65975000.0,11
1000000.0,10
8500000.0,10
15834000.0,9
45000000.0,9
20800000.0,7
47502000.0,7
34307000.0,7
60000000.0,6
10556000.0,6
19792500.0,6
23751000.0,6
15600000.0,6
28000000.0,5
23000000.0,5
7500000.0,5
17153500.0,5
42224000.0,4
39000000.0,4
80000000.0,3
65000000.0,3
50141000.0,3
29029000.0,3
120954166.66666669,3
24000000.0,3
27000000.0,3
78000000.0,3
70000000.0,3
31200000.0,3
18200000.0,3
4500000.0,2
3500000.0,2
23333333.33333333,2
1430000000.0,2
500000.0,2
55000000.0,2
22431500.0,2
44863000.0,2
2083333.3333333333,2
105560000.0,2
14514500.0,2
923650.0,2
500000000000.0,2
153941666.66666666,2
6500000.0,2
2500000.0,2
104000000.0,1
38000000.0,1
6900000.0,1
61200000.0,1
46000000.0,1
10400000.0,1
71253000.0,1
44200000.0,1
33800000.0,1
19000000.0,1
46800000.0,1
31000000.0,1
32000000.0,1
53100000.0,1
36682100.0,1
21000000.0,1
76110000.0,1
87966666.66666667,1
37500000.0,1
25862200.0,1
41666666.66666666,1
2916666.6666666665,1
1500.0,1
263900.0,1
950040.0,1
422240.0,1
70800000.0,1
48000000.0,1
33150000.0,1
7917000.0,1
15490930.0,1
184730000.0,1
73892000.0,1
13500000.0,1
22167600.0,1
2.5,1
27498380.0,1
395850.0,1
20.0,1
60.0,1
131950000.0,1
36946000.0,1
1847300000.0,1
60697000.0,1
25202450.0,1
68614000.0,1
24806600.0,1
750.0,1
1040000000.0,1
182000000.0,1
36400000.0,1
215000000.0,1
19500000.0,1
23400000.0,1
