Gia_tri,So_luong
[],690
['go'],59
['sql'],25
"['adobe photoshop', 'adobe illustrator', 'thiết kế đồ họa', 'tư duy sáng tạo', 'typography']",21
"['sql', 'go']",15
"['python', 'sql']",15
"['adobe photoshop', 'adobe illustrator', 'tư duy sáng tạo', 'thiết kế đồ họa', 'typography']",8
"['kỹ năng giao tiếp', 'kỹ năng đàm phán', 'kỹ năng thuyết phục', 'kỹ năng quản lý thời gian', 'kỹ năng lập kế hoạch']",7
['python'],6
"['python', 'sql', 'go']",6
"['bán hàng', 'giao tiếp', 'thuyết trình', 'đàm phán', 'xây dựng mối quan hệ']",6
"['thuyết trình', 'xây dựng mối quan hệ', 'đàm phán', 'giao tiếp', 'bán hàng']",6
"['python', 'go']",6
"['thiết kế đồ họa', 'sử dụng phần mềm thiết kế (photoshop, illustrator, indesign)', 'sáng tạo', 'tư duy thẩm mỹ', 'kỹ năng bố cục']",6
"['linux system administration', 'cloud computing (aws, azure, gcp)', 'containerization (docker, kubernetes)', 'ci cd pipelines (jenkins, gitlab ci, circleci)', 'infrastructure as code (terraform, ansible, cloudformation)']",6
"['giao tiếp', 'phân tích dữ liệu', 'phân tích nghiệp vụ', 'thu thập yêu cầu', 'mô hình hóa quy trình']",6
"['git', 'flutter', 'restful api', 'ui/ux', 'dart']",5
"['khả năng làm việc độc lập và nhóm', 'sử dụng thành thạo phần mềm thiết kế đồ họa (photoshop, illustrator, indesign,...)', 'khả năng sáng tạo và tư duy hình ảnh tốt', 'hiểu biết về nguyên tắc thiết kế, bố cục, màu sắc, typography', 'khả năng giao tiếp và trình bày ý tưởng']",5
"['giao tiếp', 'phân tích nghiệp vụ', 'thu thập yêu cầu', 'mô hình hóa quy trình', 'viết tài liệu đặc tả']",5
"['tìm kiếm khách hàng', 'đàm phán', 'giao tiếp', 'bán hàng', 'thuyết phục']",5
"['khả năng làm việc độc lập và nhóm', 'khả năng sáng tạo và tư duy hình ảnh tốt', 'sử dụng thành thạo phần mềm thiết kế đồ họa (photoshop, illustrator, indesign)', 'khả năng giao tiếp và trình bày ý tưởng', 'hiểu biết về nguyên tắc thiết kế (màu sắc, bố cục, typography)']",5
['java'],5
"['java', 'javascript', 'html', 'css', 'react']",5
"['phân tích yêu cầu', 'viết testcase', 'báo cáo lỗi', 'thực hiện test', 'kiểm tra chất lượng phần mềm']",4
"['làm việc nhóm', 'giao tiếp', 'lập kế hoạch', 'quản lý dự án', 'phân tích nghiệp vụ']",4
"['user research', 'wireframing', 'ui design', 'prototyping', 'ux design']",4
"['product vision', 'product backlog management', 'prioritization', 'stakeholder management', 'communication']",4
