Tên tiêu đề,Tên Công ty,link công ty,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,mô ta công việc,Yêu cầu công việc,source_job,Thành phố,Địa chỉ
Data Engineer,"SCHAEFFLER VIETNAM CO., LTD",https://careerviet.vn/vi/nha-tuyen-dung/schaeffler-vietnam-co-ltd.35A55FA9.html,21/08/2025,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,"1 - 3 
                                                        Năm",Nhân viên,26/09/2025,[],"B.Sc. or M.Sc. in Computer Science or related fields; Experience with relational databases (SQL) and basic cloud computing principles; Programming skills in Python and/or Java; Software development experience is a plus; Experience with integration of data from multiple data sources and IT systems is a plus; Experience with in working with Cloud environments and services, preferably with Microsoft Azure is a plus; Fluent language skills in English",https://careerviet.vn/vi/tim-viec-lam/data-engineer.35C541AE.html,,
SAP FICO CONSULTANT,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-citek.35A8C8BE.html,16/08/2025,"Kế toán / Kiểm toán, Tư vấn, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"2 - 10 
                                                        Năm",Nhân viên,28/08/2025,"['Company Description', 'Citek Technology JSC is an enterprise that consults and deploys many digital transformation solutions including ERP (SAP & Oracle Netsuite), MES, Data Collection, CRM, Data warehouse, Business planning, Business Intelligent.', 'We have been trusted by global companies and leading domestic companies such as Hoa Phat Group, Cadivi Electric Cable, Eurowindow, Gelex Group, Hoa Binh Minh Group, Phenikaa Group, Vicostone, Quan Dat, BIO, VAS Steel, Minh Phu Seafood, Hai Nam Seafood, Rang Dong Plastic, Ton Nam Kim, Nanogen Pharmaceutical, Pharbaco, Mainetti, Gia Hoa, Diana-Unicharm, Maison, Nippon Paint, Honda Vietnam, Mitsubishi Electric, Ajinomoto, BSI, Puratos, Clariant, Relats, Dien May Cho Lon, Fulbright University, Adidas, Digiworld, A An, Uniben, Thibidi, Emic, …', 'Role Description', 'The opening is for multiple roles and numbers of ERP Consultant for module:', 'FICO (Financial Accounting & Controlling)', '· Implement SAP S4/HANA modules (FICO/TRM) according to the requirements of each project.', '· Participate in the full cycle of new deployment projects, or participate in projects that Citek is implementing for domestic or foreign customers.', '· Perform the main tasks in the projects: business survey, solution consulting – configuring each module, writing manuals, training users, supporting operations, coordinating with departments, other functions to complete and Go-live projects.']","Bằng cấp:
                Đại học; Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/sap-fico-consultant.35C48A92.html,Hồ Chí Minh,"Số 75, Đường 41, Khu đô thị Vạn Phúc, P. Hiệp Bình Phước, TP. Thủ Đức, TP. Hồ Chí Minh"
Nhân Viên Quản Trị Hệ Thống,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,16/08/2025,"Sản xuất / Vận hành sản xuất, CNTT - Phần cứng / Mạng, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"Trên  3 
                                                        Năm",Nhân viên,14/09/2025,"['1. Quản trị, cấu hình, triển khai, giám sát theo dõi các hệ thống máy chủ cung cấp dịch vụ (Hệ thống máy chủ, Cơ sở dữ liệu, File Server, hệ thống Storage,…) của Công ty. Đảm bảo hệ thống hoạt động 24/7, khắc phục các sự cố phát sinh tuân thủ qui trình, qui định.', '2. Quản trị, cấu hình, giám sát, vận hành đảm bảo an toàn, tối ưu, bảo mật cho các hệ thống của Công ty; Chủ trì duy trì và đề xuất cải tiến, phát triển, mở rộng hệ thống đáp ứng nhu cầu sử dụng, sản xuất kinh doanh.', '3. Có kinh nghiệm triển khai các giải pháp ảo hóa như VMware vSphere hoặc Docker containers..', '4. Chủ trì Thiết kế xây dựng cơ sở hạ tầng kỹ thuật, triển khai lắp đặt, quản trị thiết bị mạng và các hệ thống giám sát hạ tầng mạng lưới.', '5. Tối ưu hóa việc sử dụng tài nguyên hệ thống dịch vụ của Công ty.', '6. Chịu trách nhiệm quản lý, cấp phát, quản lý tài nguyên của hệ thống dịch vụ. Đảm bảo nhu cầu cho hoạt động sản xuất kinh doanh của Công ty, cũng như cho các dịch vụ của Công ty.', '7. Xây dựng quy trình vận hành khai thác; quy trình khắc phục xử lý sự cố, các quy trình kỹ thuật cho từng nghiệp vụ có công việc liên quan …; phối hợp tổ chức và xây dựng quy trình cung cấp dịch vụ.', '8. Thực hiện bảo dưỡng, sao lưu cấu hình các thiết bị hệ thống (Máy chủ, Storage …) định kỳ thường xuyên.', '9. Cấp phát, quản lý tài nguyên, quản lý tài khoản người dùng.']","Bằng cấp:
                Đại học; Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quan-tri-he-thong.35C53485.html,Hà Nội,"An Khánh, Hoài Đức, Hà Nội"
Nhân Viên Quản Trị Hệ Thống,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,21/08/2025,"Sản xuất / Vận hành sản xuất, CNTT - Phần cứng / Mạng, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"Trên  3 
                                                        Năm",Nhân viên,19/09/2025,"['1. Quản trị, cấu hình, triển khai, giám sát theo dõi các hệ thống máy chủ cung cấp dịch vụ (Hệ thống máy chủ, Cơ sở dữ liệu, File Server, hệ thống Storage,…) của Công ty. Đảm bảo hệ thống hoạt động 24/7, khắc phục các sự cố phát sinh tuân thủ qui trình, qui định.', '2. Quản trị, cấu hình, giám sát, vận hành đảm bảo an toàn, tối ưu, bảo mật cho các hệ thống của Công ty; Chủ trì duy trì và đề xuất cải tiến, phát triển, mở rộng hệ thống đáp ứng nhu cầu sử dụng, sản xuất kinh doanh.', '3. Có kinh nghiệm triển khai các giải pháp ảo hóa như VMware vSphere hoặc Docker containers..', '4. Chủ trì Thiết kế xây dựng cơ sở hạ tầng kỹ thuật, triển khai lắp đặt, quản trị thiết bị mạng và các hệ thống giám sát hạ tầng mạng lưới.', '5. Tối ưu hóa việc sử dụng tài nguyên hệ thống dịch vụ của Công ty.', '6. Chịu trách nhiệm quản lý, cấp phát, quản lý tài nguyên của hệ thống dịch vụ. Đảm bảo nhu cầu cho hoạt động sản xuất kinh doanh của Công ty, cũng như cho các dịch vụ của Công ty.', '7. Xây dựng quy trình vận hành khai thác; quy trình khắc phục xử lý sự cố, các quy trình kỹ thuật cho từng nghiệp vụ có công việc liên quan …; phối hợp tổ chức và xây dựng quy trình cung cấp dịch vụ.', '8. Thực hiện bảo dưỡng, sao lưu cấu hình các thiết bị hệ thống (Máy chủ, Storage …) định kỳ thường xuyên.', '9. Cấp phát, quản lý tài nguyên, quản lý tài khoản người dùng.']","Bằng cấp:
                Đại học; Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quan-tri-he-thong.35C4FE71.html,Hà Nội,"An Khánh, Hoài Đức, Hà Nội"
KỸ SƯ CÔNG NGHỆ THÔNG TIN,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ BẢO DƯỠNG THIẾT BỊ HÀNG KHÔNG,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-san-xuat-va-bao-duong-thiet-bi-hang-khong.35A9B4AA.html,21/08/2025,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng, Xây dựng",Nhân viên chính thức,12 Tr - 18 Tr VND,"Trên  1 
                                                        Năm",Nhân viên,19/09/2025,"['• Tiến hành khảo sát, tư vấn, thiết kế hệ thống cho khách hàng trong ngành hàng không; Tham gia triển khai các giải pháp CNTT', '• Viết tài liệu, triển khai các giải pháp, tài liệu thầu', '• Cài đặt, nâng cấp, tối ưu hệ thống CNTT cho khách hàng.', '• Hỗ trợ khách hàng vận hành, giám sát và xử lý các sự cố phát sinh (phần cứng,phần mềm , hệ điều hành, mạng…)', '• Thu thập, phân tích các vấn đề kỹ thuật liên quan đến phần cứng và phần mềm của hệ thống.', '• Triển khai lắp đặt, cài đặt, nâng cấp, bảo trì, bảo dưỡng thiết bị CNTT cho khách hàng', '• Chi tiết công việc sẽ được trao đổi cụ thể khi phỏng vấn.']","Bằng cấp:
                Cao đẳng; Giới tính:
         Nam; Độ tuổi:
                Không giới hạn tuổi; Lương: 
                  12 Tr - 18 Tr
       VND",https://careerviet.vn/vi/tim-viec-lam/ky-su-cong-nghe-thong-tin.35C4FDEC.html,Hà Nội,"Sân bay Quốc tế Nội Bài - Ga Quốc tế (T2), Xã Phú Cường, Huyện Sóc Sơn, Thành phố Hà Nội"
SENIOR DEVELOPER,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN G.EMPIRE,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-bat-dong-san-g-empire.35AA06D4.html,21/08/2025,"CNTT - Phần mềm, Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,Cạnh tranh,"2 - 4 
                                                        Năm",Nhân viên,19/09/2025,"['Mô tả công việc', '- Tham gia xây dựng hệ thống CRM của công ty', '- Đưa ra những giải pháp từ yêu cầu để đạt được hiệu suất cao', '- Phân tích nghiệp vụ, phối hợp với các phòng ban để triển khai các module mới', '- Thực hiện các yêu cầu công việc từ cấp trên.']","Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/senior-developer.35C4FD7E.html,Hồ Chí Minh,"17 Trần Quý Kiên, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
AI Engineer (Team leader),Công ty TNHH Viettel - CHT,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-viettel-cht.35A87FE7.html,20/08/2025,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,"Trên  5 
                                                        Năm",Nhân viên,15/10/2025,"['Gia nhập đội ngũ tiên phong dẫn dắt sự thay đổi cùng Viettel IDC\nHơn cả một công việc, Viettel IDC mang đến cho bạn cơ hội phụng sự, kiến tạo và dẫn dắt hạ tầng chuyển đổi số quốc gia.\nCác nhiệm vụ chính:']","Bằng cấp:
                Đại học; Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/ai-engineer-team-leader.35C53F83.html,Hà Nội,"Tầng 16, Hapulico Center Building, Số 1 Nguyễn Huy Tưởng, Q. Thanh Xuân, TP. Hà Nội"
SAP Business Development,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-citek.35A8C8BE.html,14/08/2025,"Bán hàng / Kinh doanh, Tư vấn, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"5 - 10 
                                                        Năm",Nhân viên,08/09/2025,"['Citek Technology JSC is looking for a results-driven SAP/ERP Sales Executive to drive growth in the enterprise market.', 'What You’ll Do:', '· Sell SAP S/4HANA & ERP enterprise solutions to clients in manufacturing, logistics, retail, distribution, and other sectors', '· Manage the full B2B sales cycle: lead generation → prospecting → pitching → negotiation → deal closing by using disciplined, consultative selling techniques aligned with SAP practices.', '· Conduct business needs analysis, create tailored proposals, and deliver product demos to C-level executives', '· Build and expand the SME++ client portfolio, maintain sales pipeline, and ensure accurate sales forecasting']","Bachelor’s in Business, IT, or a related field; 3+ years in B2B sales (ERP, CRM, DMS, BI, E-Office, HRM, and Cloud Infrastructure), deal size ≥ USD 50,000; Closed ≥ 3 SME projects valued at USD 50,000+ each; Strong negotiation, presentation, and networking skills (LinkedIn, events…); English communication skills, adaptable to tech sales, willing to travel/flexible hours",https://careerviet.vn/vi/tim-viec-lam/sap-business-development.35C52412.html,Hà Nội,"Tầng S, Tòa nhà Artemis, 3 Lê Trọng Tấn, Quận Thanh Xuân, ​Hà Nội, Việt Nam​"
Solution Consultant,QTSC - CÔNG TY TNHH MTV PHÁT TRIỂN CÔNG VIÊN PHẦN MỀM QUANG TRUNG,https://careerviet.vn/vi/nha-tuyen-dung/qtsc-cong-ty-tnhh-mtv-phat-trien-cong-vien-phan-mem-quang-trung.35A8671A.html,14/08/2025,"Bán hàng / Kinh doanh, CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,"Trên  2 
                                                        Năm",Nhân viên,14/09/2025,"['Mục tiêu vị trí', 'Tư vấn và triển khai các giải pháp công nghệ: chịu trách nhiệm giới thiệu, trình bày, và chứng minh giá trị của các giải pháp công nghệ cho khách hàng tiềm năng, đồng thời hỗ trợ triển khai để đảm bảo giải pháp được áp dụng hiệu quả, đáp ứng chính xác nhu cầu kinh doanh và yêu cầu kỹ thuật của khách hàng.', 'Nhiệm vụ chính', 'Phân tích nhu cầu khách hàng:', '· Phỏng vấn, khảo sát để thu thập thông tin và dữ liệu cần thiết để làm rõ yêu cầu nghiệp vụ của khách hàng và nắm bắt hiện trạng số của doanh nghiệp;', '· Xác định các khoảng trống (pain points) và cơ hội mà giải pháp công nghệ có thể mang lại giá trị gia tăng cho doanh nghiệp.', 'Lập kế hoạch triển khai và Trình bày giải pháp công nghệ:', '· Lập kế hoạch triển khai dự án (phân tích, thiết kế, phát triển, kiểm thử).', '· Dựa trên phân tích nhu cầu của khách hàng, nhân viên Pre-sale phối hợp với bộ phận kỹ thuật, các bộ phận liên quan và/hoặc với đối tác công nghệ để xây dựng các giải pháp công nghệ', '· Trình bày, tư vấn, giới thiệu sản phẩm dịch vụ giải pháp đến khách hàng, tập trung vào giá trị nghiệp vụ để giải quyết nhu cầu thực tiễn của khách hàng.', '· Tổng hợp tài liệu giải pháp phần mềm/phần cứng liên quan.', 'Triển khai dự án công nghệ và dịch vụ sau bán hàng', '· Tham gia vào giai đoạn đầu của dự án triển khai để đảm bảo việc chuyển giao thông tin từ giai đoạn tiền bán hàng sang giai đoạn triển khai được liền mạch.', '· Hỗ trợ đội ngũ triển khai trong việc làm rõ yêu cầu nghiệp vụ và giải pháp kỹ thuật, đảm bảo giải pháp được triển khai đúng với kỳ vọng của khách hàng.', '· Cung cấp các buổi đào tạo ban đầu về sản phẩm cho khách hàng hoặc đội ngũ kinh doanh/triển khai.', '· Thu thập phản hồi từ khách hàng sau triển khai để cải thiện sản phẩm và dịch vụ.', 'Các công việc khác:', 'Quan hệ đối tác và phát triển dịch vụ', '· Thiết lập, phát triển và duy trì quan hệ với các nhà cung cấp giải pháp công nghệ trong và ngoài nước.', '· Liên tục cập nhật kiến thức về các xu hướng công nghệ mới, đặc biệt là trong lĩnh vực phần mềm, quản lý doanh nghiệp, AI, tự động hóa quy trình, Big Data, Cloud Computing.', '· Nghiên cứu thị trường, đối thủ cạnh tranh và các giải pháp tương tự để duy trì lợi thế cạnh tranh.', '· Góp phần xây dựng và duy trì thư viện tài liệu kỹ thuật, demo và case study', 'Đảm bảo hoạt động của DXCenter theo kế hoạch', '· Đảm bảo hoàn thành mục tiêu kế hoạch doanh số hàng năm.', '· Các công việc khác được Giám đốc phân công.']","Tốt nghiệp đại học trở lên các ngành CNTT, Hệ thống thông tin, Kỹ thuật phần mềm, Quản trị CNTT, hoặc các ngành liên quan.; Ngoại ngữ: Anh văn (IELTS 5.0/TOEIC 650)",https://careerviet.vn/vi/tim-viec-lam/solution-consultant.35C53260.html,Hồ Chí Minh,"QTSC Telecom, Công viên phần mềm Quang Trung, 36 Đường Số 4, Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
Risk Operation Senior Officer,"HD SAISON Finance Co., Ltd",https://careerviet.vn/vi/nha-tuyen-dung/hd-saison-finance-co-ltd.35A6DA73.html,14/08/2025,"Luật / Pháp lý, Tài chính / Đầu tư, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"1 - 3 
                                                        Năm",Nhân viên,14/09/2025,"['1. Triển khai công tác giám sát tuân thủ:', '2. Triển khai công tác quản lý rủi ro hoạt động:', '3. Đào tạo và phát triển nguồn nhân lực nội bộ:', '4. Thực hiện các nhiệm vụ khác theo sự phân công của cấp quản lý.']","Tốt nghiệp Đại học trở lên, ưu tiên chuyên ngành Kinh tế/Tài chính/Ngân hàng.",https://careerviet.vn/vi/tim-viec-lam/risk-operation-senior-officer.35C53210.html,Hồ Chí Minh,"24C Phan Đăng Lưu, Phường 6, Bình Thạnh, Hồ Chí Minh"
