title,company,location,salary,deadline,description,requirements,benefits,url,posted_date,industry,job_field,min_experience,education_level,age_requirement,headcount,job_level,skills,language,nationality,gender,marital_status,work_type
Area Sales Manager (North),Công Ty TNHH I.P. One (Việt Nam),Hà Nội,Thương lượng,2025-09-03,"Mô tả công việc Job responsibilities - The Area Sales Managers for TT Channel will be responsible for driving sales and managing operations across the North/ HCM/ Central. This role involves developing and executing strategic sales plans, building and maintaining strong relationships with Dealers/ Distributors and achieving sales targets to contribute to the company’s growth. Job descriptions 1. Sales Operation Management • To set up and manage customers professionally: Stockist/Distributor model and TT Key accounts in responsible areas. • To have extensive and strong experience in Salestool program & Route Plan, understanding all sale activities and related data analysis. • To analyze sale data from salestools and prepare high level of reports as guided by line manager and management. • To plan, organize, manage and direct all sales activities (E.g.: store visit, effective calls. Must-list products) for regional market to achieve the planned targets for sales volume, market share, product mix, coverage and profit margins. • To manage sale forecast and inventory to ensure adequate supply in the market. • To monitor and analyzes distribution system, market trend, competitors and the company’s products strategy in order to recommend action plan for improvement (Eg.: deep understanding of products and market, update Competitor data & pricing, in-market activities). • To monitor and analyze sales progress, promotion expenses, competitors in order to propose sales/promotion plans to achieve maximum sales volume of different brands, products. 2. Team Management • To be re sponsible to recruit and select the qualified sales team, to provide sales training, to direct, coach, motivate and evaluate the performance of sales team on monthly/quarterly basic in order to make sure that the productivity of sales team is always improved and achieve sales commitment of in charge area.","Yêu cầu công việc 1. Skills and Attributes • English proficiency in all communication skills. • Strong knowledge of salestools analysis and keen attention to detail and accuracy. • Able to work well under pressure and handle emergency and stressful situations. • Possess good skill of Excel and Power Point programs. 2. Qualifications and Experience Levels • MUST HAVE CAR LICENSE. • Bachelor’s degree in Business, Marketing, or a related field. An MBA or relevant advanced degree is a plus. • Deep understanding of local areas and routing with good connection. • Demonstrate advanced knowledge and understanding of the industry/ market/ competitors/ customers. • Demonstrate advanced knowledge and a proven sale track record in assigned territories/products/services and an existing network of contacts. • Minimum 3 years experience in ASM or RSM position (FMCG) industry. 3. Soft skills refer a) Critical thinking & results oriented. b) Strong communication and impactful negotiation skills. c) Ability to multitask and prioritize daily workload, time management. d) Ability to work independently, proactive, services mindset under high pressure. e) Able to go on business trip. 4. Benefits a) Quarterly sales incentives. b) Annual bonus according to Company business results. c) Insurance pay on total salary. d) Probation period with 100% salary payment. e) Premium Health Care for personal (Based on position level). f) Training on the job.",Các phúc lợi dành cho bạn Thưởng • Quarterly sales incentives (at least 18.000.000 vnd/ quarter) • Annual bonus according to Company business results. Chăm sóc sức khoẻ • Insurance pay on total salary. • Premium Health Care for personal (Based on position level). Nghỉ phép có lương • Probation period with 100% salary payment. Đào tạo • Training on the job. Cơ hội du lịch • Nation wide and abroad,https://www.vietnamworks.com/area-sales-manager-north-1942213-jv?utm_campaign_navi=1942213&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,04/08/2025,Hàng tiêu dùng,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,3,Cử nhân,30-45,Không hiển thị,Trưởng phòng,"Salestools Analysis, English, Sales Management, Sales Planning, Car License B2",Tiếng Anh,Không giới hạn,Bất kỳ,Bất kỳ,Toàn thời gian
Senior Sales Engineer (Làm Việc Linh Hoạt – Hybrid),Công Ty TNHH FIL Việt Nam,"Hà Nội, Hồ Chí Minh, Đà Nẵng",12tr-20tr ₫/tháng,2025-08-26,"Mô tả công việc Hiện tại, FIL có 3 văn phòng chính tại Hà Nội, Đà Nẵng và TP. Hồ Chí Minh. Nhằm mở rộng hoạt động kinh doanh tại các địa phương, chúng tôi đang tìm kiếm 4 nhân viên kinh doanh làm việc tại các tỉnh với hình thức làm việc linh hoạt – hybrid. Địa điểm làm việc linh hoạt, ưu tiên ứng viên muốn về quê sinh sống và làm việc tại các khu vực sau: 1. Bắc Giang hoặc Bắc Ninh, Vĩnh Phúc 2. Hải Dương hoặc Hải Phòng, Quảng Ninh 3. Cần Thơ hoặc Long An, Tiền Giang 4. Quảng Ngãi hoặc Quảng Nam 5. Bà Rịa Vũng Tàu hoặc Đồng Nai, Bình Dương Mô tả công việc: Bán hàng & Phát triển kinh doanh: • Xác định và phát triển các cơ hội kinh doanh mới với các nhà máy • Xây dựng mối quan hệ với nhà thầu, công ty tư vấn thiết kế • Trình bày và trình diễn các sản phẩm hoặc giải pháp kỹ thuật công nghiệp (bao gồm giải pháp thay thế định kỳ và giải pháp cải tạo nâng cấp) tới chủ đầu tư, khách hàng • Đàm phán hợp đồng và chốt doanh số",,"Các phúc lợi dành cho bạn Thưởng Lương cứng 12-20tr + Thưởng doanh số Đào tạo Hỗ trợ training, học thêm kiến thức chuyên ngành và ngoại ngữ Căn-tin Hỗ trợ ăn trưa Khác Thời gian làm việc linh hoạt, cho phép điều chỉnh giờ vào/ra làm việc. Khả năng làm việc từ xa hoặc mô hình làm việc theo kiểu hybrid. Cam kết hỗ trợ cân bằng công việc và cuộc sống của nhân viên.",https://www.vietnamworks.com/senior-sales-engineer-lam-viec-linh-hoat-hybrid-1938836-jv?utm_campaign_navi=1938836&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,27/07/2025,Cơ khí/Máy móc/Thiết bị công nghiệp,Kinh Doanh > Bán Hàng Kỹ Thuật,3,Cử nhân,27-37,Không hiển thị,Nhân viên,"Sales Engineering, Bán Hàng Kỹ Thuật, Business Development, Khí Nén, Chiếu Sáng Nhà Xưởng",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,Toàn thời gian
Trưởng Phòng Kinh Doanh,Công ty TNHH Metal Solutions,"Hồ Chí Minh, Hà Nội",$ 20tr-25tr /tháng,2025-08-27,"Mô tả công việc • Nghiên cứu sản phẩm, thị trường ngành vật liệu hàn đặc chủng, chống mòn và thiết bị hàn cắt. • Chịu trách nhiệm chính về mở rộng thị trường, triển khai kế hoạch kinh doanh cũng như xây dựng đội ngũ KD về mảng thương mại. • Đảm bảo doanh số, chỉ tiêu của phòng mà công ty đưa ra. • Quản lý công việc của nhóm, chịu trách nhiệm hỗ trợ, trực tiếp bán hàng trong các trường hợp cần thiết và những vấn đề phát sinh để đảm bảo hoàn thành các chỉ tiêu doanh số.","Yêu cầu công việc • Ưu tiên: Nam • Tốt nghiệp Đại học các ngành kỹ thuật như luyện kim, vật liệu, cơ khí, cơ điện, hoặc các ngành có liên quan. • Ưu tiên có kinh nghiệm trên 3 năm về lĩnh vực bán hàng trong ngành cơ khí, có hiểu biết về thị trường hàn cắt, có khả năng và kinh nghiệm làm các dự án về thương mại hàng kỹ thuật, ưu tiên về vật liệu hàn sẽ là thế mạnh. • Có kỹ năng tổ chức công việc, giao tiếp và đàm phán tốt. • Trung thực, năng động, có trách nhiệm trong công việc, chịu được áp lực cao. • Giao tiếp được bằng Tiếng Anh hoặc Tiếng Trung.","Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Được tham gia bảo hiểm theo quy định. Đào tạo Được đào tạo chuyên sâu bởi các chuyên gia đầu ngành trong và ngoài nước về lĩnh vực hàn chống mòn, đặc chủng mà rất ít người am hiểu sâu trên thị trường. Được tham gia các khoá đào tạo, giao lưu trong và ngoài nước cùng các chuyên gia của các hãng Cơ hội du lịch Du lịch hằng năm Xe đưa đón Được trợ cấp xăng xe theo quy định công ty, cung cấp thiết bị hỗ trợ công việc. Căn-tin Ăn trưa tại công ty, có công tác phí khi đi tỉnh. Khác Môi trường làm việc trẻ trung, năng động và thăng tiến trong công việc.",https://www.vietnamworks.com/truong-phong-kinh-doanh-1939142-jv?utm_campaign_navi=1939142&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,28/07/2025,Bán lẻ/Bán sỉ,Kinh Doanh > Bán Hàng Kỹ Thuật,3,Cử nhân,Không hiển thị,Không hiển thị,Trưởng phòng,"Kỹ Thuật Vật Lý, Cơ Khí, Hàn Cắt Cơ Khí, Bán Hàng Kỹ Thuật, Kinh Doanh",Tiếng Việt,Không hiển thị,Nam,Không hiển thị,Toàn thời gian
Contact Center Services & Sales Representative – Outbound (Telesales) – HCMC,HSBC Vietnam,Hồ Chí Minh,Thương lượng,2025-09-10,"Mô tả công việc • To perform high quality outbound customer contact by identifying additional needs to both existing and new to bank customers. • Focuses on building rapport and trust with existing and new to bank customers to ensure the highest level of customer satisfaction. • Job holder is required to achieve the monthly minimum standards with respect to customer contacts and relevant Key Performance Indicators (i.e. customer outcomes, operational risk measures etc.) • Manage the straight through sales process acquisition of leads generated. • Where appropriate deliver the initial customer request successfully alongside any additional products, services and solutions that have been identified. • Seeking to improve processing and managing the individual product error rates and smooth processing of all customer applications. • By engaging with various Business partners inclusive but not limited to Credit, CAU CPD, PMG, CSV, and MKT, GSCM on daily task and processes under the guidance of the Team Manager. • Deliver fair outcomes for our customers and ensure own conduct maintains the orderly and transparent operation of financial markets • Contribute to team development, effectiveness and success by sharing knowledge and good practice, working collaboratively with others to create a productive, diverse and supportive working environment. • Continuously monitor and gather information to assess potential impacts and identify possible risks and opportunities for the business.",,"Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Health insurance and Social insurance regulated by Vietnam Labor Law Giải thưởng Excellent career potential and attractive remuneration packages. Khác Professional, dynamic working environment",https://www.vietnamworks.com/contact-center-services-sales-representative-outbound-telesales-hcmc--1928755-jv?utm_campaign_navi=relevantJobs&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,11/08/2025,Ngân hàng,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,Mới Tốt Nghiệp,"Customer Service, Telesales, Phát triển thị trường, Tìm Kiếm Hợp Đồng, Business Management",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Quản Lý Bán Hàng (Mảng Xi Măng - Kênh Xi Măng Bao/ Xi Măng Rời),,,Thương lượng,2025-09-03,"Mô tả công việc 1. Xây dựng kế hoạch bán hàng và đề xuất Ban Điều Hành: • Lập kế hoạch bán hàng hàng năm/ quý/ tháng, tổ chức thực hiện, giám sát và đánh giá kết quả thực hiện định kỳ. • Phân bổ chỉ tiêu, kế hoạch (doanh số, KPI, ngân sách) đến từng nhân viên bán hàng. • Đảm bảo việc truyền đạt thông tin rõ ràng về các chính sách của công ty (giá, khuyến mãi, chính sách thưởng cho đội ngũ, chính sách khách hàng/ NPP,...) • Tham gia xây dựng kế hoạch phát triển hệ thống thuộc khu vực phụ trách theo định kỳ năm/ quý/ tháng. 2. Thiết lập & duy trì quan hệ với các tổng thầu, chủ đầu tư lớn tại các khu vực phụ trách 3. Quản lý thực thi hiệu quả nhằm đạt được các mục tiêu: • Thường xuyên theo dõi các báo cáo bán hàng, phân tích số liệu nhằm xác định cơ hội hoặc đưa ra những kế hoạch hành động hợp lý, chỉ đạo kịp thời cho đội ngũ • Thực thi hệ thống theo dõi nhằm kiểm tra và đánh giá năng suất, hiệu quả, thành tích nhân viên • Đảm bảo hoàn thành chỉ tiêu kế hoạch được giao về doanh số, và KPI… của tất cả các nhóm bán hàng theo tháng/ quý/ năm • Đảm bảo đội ngũ thực hiện nghiêm túc các chính sách và các văn bản/ thông báo của công ty theo từng giai đoạn",,"Các phúc lợi dành cho bạn Thưởng Thưởng lễ tết + Thưởng tháng 13 Chăm sóc sức khoẻ Bảo hiểm đầy đủ theo quy định nhà nước Khác Thu nhập hấp dẫn, Thử việc lương 85% lương Cơ hội thăng tiến nội bộ, môi trường làm việc hạnh phúc Cùng rất nhiều chế độ hấp dẫn khác đang chờ đợi Anh/Chị.",https://www.vietnamworks.com/quan-ly-ban-hang-mang-xi-mang-kenh-xi-mang-bao-xi-mang-roi-1941808-jv?utm_campaign_navi=relevantJobs&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,04/08/2025,Vật liệu xây dựng,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,2,Cao đẳng,Không hiển thị,1,Trưởng phòng,,Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,Toàn thời gian
Contact Center Services & Sales Representative – Outbound (Telesales) – HCMC,HSBC Vietnam,Hồ Chí Minh,Thương lượng,2025-09-10,"Mô tả công việc • To perform high quality outbound customer contact by identifying additional needs to both existing and new to bank customers. • Focuses on building rapport and trust with existing and new to bank customers to ensure the highest level of customer satisfaction. • Job holder is required to achieve the monthly minimum standards with respect to customer contacts and relevant Key Performance Indicators (i.e. customer outcomes, operational risk measures etc.) • Manage the straight through sales process acquisition of leads generated. • Where appropriate deliver the initial customer request successfully alongside any additional products, services and solutions that have been identified. • Seeking to improve processing and managing the individual product error rates and smooth processing of all customer applications. • By engaging with various Business partners inclusive but not limited to Credit, CAU CPD, PMG, CSV, and MKT, GSCM on daily task and processes under the guidance of the Team Manager. • Deliver fair outcomes for our customers and ensure own conduct maintains the orderly and transparent operation of financial markets • Contribute to team development, effectiveness and success by sharing knowledge and good practice, working collaboratively with others to create a productive, diverse and supportive working environment. • Continuously monitor and gather information to assess potential impacts and identify possible risks and opportunities for the business.",,"Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Health insurance and Social insurance regulated by Vietnam Labor Law Giải thưởng Excellent career potential and attractive remuneration packages. Khác Professional, dynamic working environment",https://www.vietnamworks.com/contact-center-services-sales-representative-outbound-telesales-hcmc--1928755-jv?source=searchResults&searchType=2&placement=1928755&sortBy=date,11/08/2025,Ngân hàng,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,Mới Tốt Nghiệp,"Customer Service, Telesales, Phát triển thị trường, Tìm Kiếm Hợp Đồng, Business Management",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Quản Lý Bán Hàng (Mảng Xi Măng - Kênh Xi Măng Bao/ Xi Măng Rời),,,Thương lượng,2025-09-03,"Mô tả công việc 1. Xây dựng kế hoạch bán hàng và đề xuất Ban Điều Hành: • Lập kế hoạch bán hàng hàng năm/ quý/ tháng, tổ chức thực hiện, giám sát và đánh giá kết quả thực hiện định kỳ. • Phân bổ chỉ tiêu, kế hoạch (doanh số, KPI, ngân sách) đến từng nhân viên bán hàng. • Đảm bảo việc truyền đạt thông tin rõ ràng về các chính sách của công ty (giá, khuyến mãi, chính sách thưởng cho đội ngũ, chính sách khách hàng/ NPP,...) • Tham gia xây dựng kế hoạch phát triển hệ thống thuộc khu vực phụ trách theo định kỳ năm/ quý/ tháng. 2. Thiết lập & duy trì quan hệ với các tổng thầu, chủ đầu tư lớn tại các khu vực phụ trách 3. Quản lý thực thi hiệu quả nhằm đạt được các mục tiêu: • Thường xuyên theo dõi các báo cáo bán hàng, phân tích số liệu nhằm xác định cơ hội hoặc đưa ra những kế hoạch hành động hợp lý, chỉ đạo kịp thời cho đội ngũ • Thực thi hệ thống theo dõi nhằm kiểm tra và đánh giá năng suất, hiệu quả, thành tích nhân viên • Đảm bảo hoàn thành chỉ tiêu kế hoạch được giao về doanh số, và KPI… của tất cả các nhóm bán hàng theo tháng/ quý/ năm • Đảm bảo đội ngũ thực hiện nghiêm túc các chính sách và các văn bản/ thông báo của công ty theo từng giai đoạn 4. Quản lý và phát triển khách hàng:",,"Các phúc lợi dành cho bạn Thưởng Thưởng lễ tết + Thưởng tháng 13 Chăm sóc sức khoẻ Bảo hiểm đầy đủ theo quy định nhà nước Khác Thu nhập hấp dẫn, Thử việc lương 85% lương Cơ hội thăng tiến nội bộ, môi trường làm việc hạnh phúc Cùng rất nhiều chế độ hấp dẫn khác đang chờ đợi Anh/Chị.",https://www.vietnamworks.com/quan-ly-ban-hang-mang-xi-mang-kenh-xi-mang-bao-xi-mang-roi-1941808-jv?source=searchResults&searchType=2&placement=1941808&sortBy=date,04/08/2025,Vật liệu xây dựng,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,2,Cao đẳng,Không hiển thị,1,Trưởng phòng,,Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,Toàn thời gian
[HCM] Nhân Viên Tư Vấn Giải Pháp Tuyển Dụng - Telesales,Navigos Group,Hồ Chí Minh,$ 300-800 /tháng,2025-09-12,"Mô tả công việc Với hơn 23 năm hình thành và phát triển, VietnamWorks tự hào là trang web tuyển dụng hàng đầu và lâu đời nhất tại Việt Nam. Là một phần của Tập đoàn Navigos Group, VietnamWorks tự hào mang đến một môi trường làm việc năng động, thử thách và thân thiện. Tại đây, mỗi thành viên đều được gọi là một ""Dream Maker"" – với sứ mệnh kết nối nhà tuyển dụng và ứng viên nhằm giúp họ hiện thực hóa giấc mơ nghề nghiệp của mình thông qua những giải pháp tuyển dụng hiệu quả, linh hoạt và chuyên nghiệp. Chúng tôi luôn bền bỉ và tận tâm thực hiện sứ mệnh này với tất cả tình yêu dành cho khách hàng và các ứng viên. BẠN SẼ NHẬN ĐƯỢC GÌ TỪ CÔNG VIỆC NÀY TẠI VIETNAMWORKS • Được làm việc tại trang web tuyển dụng trực tuyến hàng đầu Việt Nam với môi trường chuyên nghiệp, rõ ràng và minh bạch của tập đoàn Nhật Bản. • Thu nhập không giới hạn theo doanh số đạt được và phụ thuộc vào năng lực của bạn. • Được tham gia các chương trình đào tạo hấp dẫn giúp bạn phát triển kỹ năng mềm thiết yếu như các khóa học: Quy trình bán hàng chuyên nghiệp T.R.U.S.T; Master Your Mind; Master Your Time; Master Your Communication, Creative Problem Solving; Power Negotiation và nhiều khóa học giá trị khác. • Nhiều sân chơi cùng các giải thưởng hấp dẫn để khuyến khích bạn thể hiện bản thân như giải thưởng Best sales of the month; Best team, … • Môi trường năng động cùng những đồng nghiệp cởi mở và luôn sẵn lòng hỗ trợ. • Bạn có 22 ngày nghỉ phép/ năm",,Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Gói bảo hiểm chăm sóc sức khỏe cao cấp. Khám sức khỏe định kỳ hàng năm (02 lần/năm đối với nữ) Nghỉ phép có lương Số ngày phép có lương lên đến 27 ngày/năm Giải thưởng Thu nhập không giới hạn theo doanh số đạt được và phụ thuộc vào năng lực. Nhiều sân chơi cùng các giải thưởng hấp dẫn,https://www.vietnamworks.com/hcm-nhan-vien-tu-van-giai-phap-tuyen-dung-telesales-1945669-jv?source=searchResults&searchType=2&placement=1945669&sortBy=date,13/08/2025,Cung cấp nhân lực,Kinh Doanh > Bán Hàng Qua Điện Thoại,1,Không giới hạn,23-28,Không hiển thị,Nhân viên,"B2B Sales, Tư Vấn, Telesales, Khả năng chịu áp lực, Giao Tiếp Tốt",Bất kỳ,Người Việt Nam,Không hiển thị,Không hiển thị,Toàn thời gian
[HCM] Chuyên viên Tư vấn Giải pháp Tuyển dụng,Navigos Group,Hồ Chí Minh,6tr-8tr ₫/tháng,2025-08-27,"Mô tả công việc Chào mừng bạn đến với Vietnamworks.com - nền tảng tuyển dụng trực tuyến hàng đầu và lâu đời nhất tại Việt Nam. Tại đây, chúng tôi tin rằng một sự nghiệp bền vững bắt đầu từ môi trường làm việc hạnh phúc: • Nơi ý kiến của bạn được trân trọng và thực sự tạo ra thay đổi • Nơi công nghệ hiện đại là công cụ giúp bạn làm việc thông minh và hiệu quả hơn • Nơi mà sự minh bạch và phát triển cá nhân là những giá trị cốt lõi • Và quan trọng, nơi bạn có thể giữ cân bằng giữa công việc và cuộc sống riêng – vì bạn xứng đáng Là một chuyên viên tư vấn của Vietnamworks bạn sẽ: • Thực hiện các cuộc gọi chủ động đến các khách hàng doanh nghiệp, lắng nghe nhu cầu tuyển dụng của họ và đưa ra các giải pháp phù hợp • Phát triển doanh số dựa trên tệp khách hàng tiềm năng do công ty cung cấp. • Đảm bảo chỉ tiêu về số lượng, chất lượng cuộc gọi và đơn hàng theo từng giai đoạn (ngày, tuần, quý, năm). • Hỗ trợ nhóm hoàn thành mục tiêu chung.","Yêu cầu công việc Tại VietnamWorks, chúng tôi không tìm kiếm những ứng viên hoàn hảo.","Các phúc lợi dành cho bạn Thưởng Thu nhập không giới hạn theo doanh số phụ thuộc vào năng lực. Chăm sóc sức khoẻ Gói bảo hiểm chăm sóc sức khỏe cao cấp. Khám sức khỏe định kỳ hàng năm (02 lần/năm đối với nữ) Nghỉ phép có lương Đến 27 ngày nghỉ phép/ năm Đào tạo Chương trình đào tạo hấp dẫn, phát triển kỹ năng",https://www.vietnamworks.com/hcm-chuyen-vien-tu-van-giai-phap-tuyen-dung-1939076-jv?source=searchResults&searchType=2&placement=1939076&sortBy=date,28/07/2025,Cung cấp nhân lực,Kinh Doanh > Bán Hàng Qua Điện Thoại,1,Cao đẳng,23-29,1,Nhân viên,"Giải Quyết Tình Huống Phát Sinh, Giao Tiếp, Teamwork, Thương Lượng, Tư Vấn",Bất kỳ,Người Việt Nam,Bất kỳ,Không hiển thị,Khác
Nhân viên tư vấn - Telesales,Navigos Group,Hồ Chí Minh,Từ 6tr ₫/tháng,2025-09-21,"Mô tả công việc Navigos Group đang tìm kiếm một thành viên có tinh thần ham học hỏi, năng động, tích cực để gia nhập vào đội ngũ phát triển kinh doanh mới của công ty. Sản phẩm mới của Navigos Group – một nền tảng tuyển dụng được thiết kế dành riêng cho thế hệ Gen Z – giúp các bạn trẻ khám phá con đường phát triển sự nghiệp và tiếp cận với những cơ hội việc làm phù hợp với bản thân. Bên cạnh đó, nền tảng tuyển dụng này còn là cầu nối, hỗ trợ các doanh nghiệp tìm kiếm những tài năng trẻ phù hợp với doanh nghiệp. Mô tả công việc: • Chủ động tiếp cận các khách hàng doanh nghiệp tiềm năng (qua điện thoại, email, chat, v.v.) để giới thiệu dịch vụ và tạo ra các cơ hội kinh doanh mới. • Xây dựng mối quan hệ với khách hàng thông qua việc theo dõi thường xuyên và thấu hiểu rõ nhu cầu tuyển dụng của họ. • Đề xuất giải pháp phù hợp nhất, xử lý phản đối một cách tự tin và xây dựng niềm tin từ khách hàng. • Hỗ trợ khách hàng trong suốt quá trình onboard – từ khi đặt hàng đến khi sử dụng thành thạo nền tảng. BẠN SẼ NHẬN ĐƯỢC GÌ TỪ CÔNG VIỆC NÀY",,"Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Đầy đủ bảo hiểm xã hội và gói bảo hiểm sức khỏe cao cấp. Nghỉ phép có lương 27 ngày nghỉ phép có lương mỗi năm, nghỉ thứ Bảy và Chủ nhật. Đào tạo Được đào tạo bài bản về kỹ năng bán hàng, giao tiếp, đàm phán và nhiều hơn thế. Khác Khám sức khỏe định kỳ hàng năm (nữ nhân viên được khám 2 lần/năm). Lộ trình thăng tiến rõ ràng, cơ hội phát triển thực sự.",https://www.vietnamworks.com/nhan-vien-tu-van-telesales-1949970-jv?source=searchResults&searchType=2&placement=1949970&sortBy=date,22/08/2025,Cung cấp nhân lực,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,Mới Tốt Nghiệp,"Bán Hàng, Chăm Sóc Khách Hàng, Giao Tiếp Tiếng Anh, Làm Việc Nhóm, Telesales",Bất kỳ,Người Việt Nam,Không hiển thị,Không hiển thị,Toàn thời gian
